,Allotted Quota,Allotted Institute,Course,Alloted Category,R1,R2,Mop Up,Stray Vacancy,SP Stray Vacancy
4176,All India,"LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,LOKMANYA TILAK MEDICALCOLLEGE MUMBAI,Maharashtra,400022",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,ST,69267,-,-,-,-
4177,All India,"LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,LOKMANYA TILAK MEDICALCOLLEGE MUMBAI,Maharashtra,400022",MD/MS (Anatomy),OBC,81889,-,-,-,-
4178,All India,"LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,LOKMANYA TILAK MEDICALCOLLEGE MUMBAI,Maharashtra,400022",DIPLOMA IN PUBLIC HEALTH,ST,103920,-,-,-,-
4179,All India,"Lokopriya Gopinath Bordoloi Regional Institute of Mental Health,Lokopriya Gopinath Bordoloi Regional Institute of Mental Health,Assam,784001",M.D. (PSYCHIATRY),Open,7465,-,-,-,-
4180,All India,"Lokopriya Gopinath Bordoloi Regional Institute of Mental Health,Lokopriya Gopinath Bordoloi Regional Institute of Mental Health,Assam,784001",M.D. (PSYCHIATRY),OBC,13056,-,-,-,-
4181,All India,"Lokopriya Gopinath Bordoloi Regional Institute of Mental Health,Lokopriya Gopinath Bordoloi Regional Institute of Mental Health,Assam,784001",M.D. (PSYCHIATRY),SC,22897,-,-,-,-
4182,All India,"Lokopriya Gopinath Bordoloi Regional Institute of Mental Health,Lokopriya Gopinath Bordoloi Regional Institute of Mental Health,Assam,784001",M.D. (PSYCHIATRY),ST,47105,-,-,-,-
4183,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (RADIO-DIAGNOSIS),Open,526,-,-,-,-
4184,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (GENERAL MEDICINE),Open,681,-,-,-,-
4185,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (GENERAL MEDICINE),EWS,1145,-,-,-,-
4186,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (RADIO-DIAGNOSIS),OBC,1236,-,-,-,-
4187,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREALDISEASES)/(VENEREOLOGY)",Open,1403,-,-,-,-
4188,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",DIP.IN MEDICAL RADIO-DIAGNOSIS,Open,2020,-,-,-,-
4189,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (GENERAL MEDICINE),SC,2244,-,-,-,-
4190,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (GENERAL MEDICINE),OBC,2493,-,-,-,-
4191,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (PAEDIATRICS),Open,2548,-,-,-,-
4192,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.S. (GENERAL SURGERY),Open,3867,-,-,-,-
4193,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Open,3936,-,-,-,-
4194,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (PAEDIATRICS),EWS,4123,-,-,-,-
4195,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.S. (GENERAL SURGERY),EWS,4226,-,-,-,-
4196,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (PAEDIATRICS),OBC,4247,-,-,-,-
4197,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.S. (ORTHOPAEDICS),Open,4750,-,-,-,-
4198,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",DIP.IN MEDICAL RADIO-DIAGNOSIS,OBC,5049,-,-,-,-
4199,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",DIP.IN GYNAE. and OBST.,Open,5159,-,-,-,-
4200,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D.(Respiratory Medicine),OBC,6032,-,-,-,-
4201,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),OBC,6383,-,-,-,-
4202,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.S. (ORTHOPAEDICS),OBC,6759,-,-,-,-
4203,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.S. (OPHTHALMOLOGY),Open,6789,-,-,-,-
4204,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.S. (OPHTHALMOLOGY),EWS,8766,-,-,-,-
4205,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.S. (GENERAL SURGERY),OBC,8911,-,-,-,-
4206,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",DIP.IN GYNAE. and OBST.,EWS,9700,-,-,-,-
4207,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.S. (OPHTHALMOLOGY),OBC,12294,-,-,-,-
4208,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",DIP.IN GYNAE. and OBST.,OBC,12433,-,-,-,-
4209,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (ANAESTHESIOLOGY),Open,12553,-,-,-,-
4210,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (ANAESTHESIOLOGY),EWS,13599,-,-,-,-
4211,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (ANAESTHESIOLOGY),OBC,15969,-,-,-,-
4212,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.S. (ORTHOPAEDICS),SC,16225,-,-,-,-
4213,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",DIP.IN GYNAE. and OBST.,SC,16226,-,-,-,-
4214,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (PSYCHIATRY),SC,16923,-,-,-,-
4215,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (GENERAL MEDICINE),ST,17307,-,-,-,-
4216,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",DIPLOMA IN ANAESTHESIOLOGY,Open,17899,-,-,-,-
4217,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (PATHOLOGY),Open,18811,-,-,-,-
4218,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.S. (GENERAL SURGERY),SC,19491,-,-,-,-
4219,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.S. (OPHTHALMOLOGY),SC,24832,-,-,-,-
4220,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (PATHOLOGY),OBC,24836,-,-,-,-
4221,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",DIPLOMA IN ANAESTHESIOLOGY,OBC,25250,-,-,-,-
4222,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.S. (E.N.T.),SC,27603,-,-,-,-
4223,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (ANAESTHESIOLOGY),SC,28077,-,-,-,-
4224,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,Open,28827,-,-,-,-
4225,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (PHARMACOLOGY),Open,30656,-,-,-,-
4226,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.S. (ORTHOPAEDICS),ST,33808,-,-,-,-
4227,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,OBC,33903,-,-,-,-
4228,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (MICROBIOLOGY),OBC,37429,-,-,-,-
4229,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. IN TRANSFUSION MEDICINE/ IMMUNO- HAEMATOLOGY and BLOOD TRANSFUSION,SC,40132,-,-,-,-
4230,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (PATHOLOGY),SC,42104,-,-,-,-
4231,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",DIP.IN GYNAE. and OBST.,ST,44264,-,-,-,-
4232,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (PHARMACOLOGY),SC,46314,-,-,-,-
4233,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (PHARMACOLOGY),OBC,46395,-,-,-,-
4234,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,EWS,50497,-,-,-,-
4235,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (PHYSIOLOGY),Open,50779,-,-,-,-
4236,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (FORENSIC MEDICINE),OBC,52373,-,-,-,-
4237,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (PSYCHIATRY),ST,55008,-,-,-,-
4238,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (MICROBIOLOGY),SC,58030,-,-,-,-
4239,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (MICROBIOLOGY),ST,76546,-,-,-,-
4240,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",M.D. (PHYSIOLOGY),OBC,81829,-,-,-,-
4241,All India,"M. P. SHAH GOVERNMENT MEDICAL COLLEGE,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,Gujarat,361008",MD/MS (Anatomy),ST,90158,-,-,-,-
4242,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (RADIO-DIAGNOSIS),Open,141,-,-,-,-
4243,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (GENERAL MEDICINE),Open,189,-,-,-,-
4244,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (RADIO-DIAGNOSIS),OBC,199,-,-,-,-
4245,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (GENERAL MEDICINE),OBC,483,-,-,-,-
4246,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (PAEDIATRICS),Open,573,-,-,-,-
4247,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREALDISEASES)/(VENEREOLOGY)",Open,665,-,-,-,-
4248,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (PAEDIATRICS),OBC,986,-,-,-,-
4249,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREALDISEASES)/(VENEREOLOGY)",OBC,992,-,-,-,-
4250,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (GENERAL MEDICINE),SC,1619,-,-,-,-
4251,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (GENERAL MEDICINE),EWS,2027,-,-,-,-
4252,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (RADIO-DIAGNOSIS),SC,2044,-,-,-,-
4253,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREALDISEASES)/(VENEREOLOGY)",SC,2173,-,-,-,-
4254,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D.(Respiratory Medicine),Open,2390,-,-,-,-
4255,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.S. (GENERAL SURGERY),Open,2512,-,-,-,-
4256,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Open,2517,-,-,-,-
4257,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D.(Respiratory Medicine),OBC,2711,-,-,-,-
4258,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),OBC,2952,-,-,-,-
4259,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.S. (ORTHOPAEDICS),Open,3206,-,-,-,-
4260,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.S. (GENERAL SURGERY),OBC,3209,-,-,-,-
4261,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREALDISEASES)/(VENEREOLOGY)",EWS,3460,-,-,-,-
4262,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.S. (ORTHOPAEDICS),OBC,3677,-,-,-,-
4263,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (PAEDIATRICS),EWS,3865,-,-,-,-
4264,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.S. (OPHTHALMOLOGY),Open,4507,-,-,-,-
4265,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (RADIO-DIAGNOSIS),ST,5854,-,-,-,-
4266,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (ANAESTHESIOLOGY),Open,6062,-,-,-,-
4267,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.S. (OPHTHALMOLOGY),OBC,6543,-,-,-,-
4268,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. GERIATRICS,OBC,6680,-,-,-,-
4269,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (ANAESTHESIOLOGY),OBC,6782,-,-,-,-
4270,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),EWS,6954,-,-,-,-
4271,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.S. (GENERAL SURGERY),SC,7073,-,-,-,-
4272,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (PAEDIATRICS),SC,7298,-,-,-,-
4273,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.S. (GENERAL SURGERY),EWS,7700,-,-,-,-
4274,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.S. (E.N.T.),Open,8078,-,-,-,-
4275,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),SC,8388,-,-,-,-
4276,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.S. (ORTHOPAEDICS),EWS,8572,-,-,-,-
4277,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (PSYCHIATRY),Open,8813,-,-,-,-
4278,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (PATHOLOGY),Open,8971,-,-,-,-
4279,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.S. (E.N.T.),OBC,9109,-,-,-,-
4280,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (Radiotherapy/ Radiation Oncology),Open,10045,-,-,-,-
4281,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D.(Respiratory Medicine),EWS,10213,-,-,-,-
4282,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (PSYCHIATRY),OBC,10219,-,-,-,-
4283,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D.(Respiratory Medicine),SC,10353,-,-,-,-
4284,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (Radiotherapy/ Radiation Oncology),OBC,10945,-,-,-,-
4285,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (PATHOLOGY),OBC,11325,-,-,-,-
4286,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. GERIATRICS,SC,11700,-,-,-,-
4287,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.S. (ORTHOPAEDICS),SC,11719,-,-,-,-
4288,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREALDISEASES)/(VENEREOLOGY)",ST,11920,-,-,-,-
4289,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (ANAESTHESIOLOGY),SC,12114,-,-,-,-
4290,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",DIPLOMA IN DIABETOLOGY,Open,13337,-,-,-,-
4291,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.S. (E.N.T.),EWS,13454,-,-,-,-
4292,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.S. (E.N.T.),SC,14347,-,-,-,-
4293,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (ANAESTHESIOLOGY),EWS,14375,-,-,-,-
4294,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (PHYSICAL MED. and REHABILITATION),OBC,14490,-,-,-,-
4295,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (Radiotherapy/ Radiation Oncology),EWS,14843,-,-,-,-
4296,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.S. (OPHTHALMOLOGY),EWS,15309,-,-,-,-
4297,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,Open,15759,-,-,-,-
4298,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. GERIATRICS,EWS,15775,-,-,-,-
4299,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.S. (OPHTHALMOLOGY),SC,16919,-,-,-,-
4300,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (PSYCHIATRY),SC,17064,-,-,-,-
4301,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (PSYCHIATRY),EWS,17065,-,-,-,-
4302,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,OBC,19101,-,-,-,-
4303,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (GENERAL MEDICINE),ST,19282,-,-,-,-
4304,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (FORENSIC MEDICINE),Open,19284,-,-,-,-
4305,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (PHARMACOLOGY),Open,19409,-,-,-,-
4306,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (PATHOLOGY),SC,21981,-,-,-,-
4307,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (Radiotherapy/ Radiation Oncology),SC,22183,-,-,-,-
4308,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (MICROBIOLOGY),Open,22200,-,-,-,-
4309,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI,CHENNAI-03,Tamil Nadu,600003",M.D. (PHARMACOLOGY),OBC,22255,-,-,-,-
